ID,Quantity_Sold_(kilo)
32650,7.0
32643,9.0
32644,23.0
32645,1.0
32646,5.0
32647,2.496
32648,35.0
32649,2.0
32651,38.379
32657,25.0
32653,10.14
32654,3.39
32655,0.864
32656,6.0
32658,33.0
32659,29.0
32660,6.865
32661,15.171
32662,45.0
32652,12.327
32642,2.0
32639,21.0
32640,8.0
32641,18.0
32620,19.052
32621,9.757
32622,4.222
32623,13.984
32625,8.079
32626,48.343
32627,39.27
32628,2.09
32624,2.501
32630,5.076
32631,80.0
32632,1.787
32633,46.334
32634,58.0
32635,46.0
32636,10.0
32637,3.0
32629,3.669
32638,3.0
32695,1.0
32694,35.0
32693,0.516
32692,2.0
32688,11.0
32690,4.0
32689,6.0
32696,15.0
32691,7.0
32697,24.363
32707,2.8160000000000003
32699,1.487
32700,4.62
32701,18.584
32702,12.0
32703,23.0
32704,26.0
32705,11.0
32706,1.0
32708,13.759
32698,14.664
32686,6.0
32687,11.0
32684,28.0
32663,10.254
32664,1.359
32665,17.494
32666,3.307
32667,6.344
32668,63.698
32669,33.016
32670,4.294
32671,12.048
32672,50.0
32685,10.0
32674,2.0
32675,60.549
32676,8.442
32677,55.0
32678,34.0
32679,15.0
32680,6.0
32681,19.0
32682,4.0
32683,1.0
32673,1.6869999999999998
32742,44.0
32741,0.566
32740,1.0430000000000001
32735,3.0
32738,6.0
32737,11.0
32736,1.0
32743,2.0
32739,5.0
32744,16.0
32750,7.0
32746,15.428
32747,8.541
32748,30.83
32749,5.0
32751,20.0
32752,4.0
32753,2.567
32754,12.217
32755,22.0
32734,1.0
32745,4.63
32756,1.0
32733,18.0
32731,11.0
32732,1.0
32709,9.492
32710,2.7359999999999998
32711,4.184
32712,9.917
32713,6.735
32715,22.666
32716,2.2279999999999998
32717,8.406
32718,0.9239999999999999
32719,1.0
32714,49.663000000000004
32721,10.0
32720,11.295
32729,4.0
32728,3.0
32727,11.0
32726,11.0
32730,15.0
32724,36.0
32723,54.0
32722,35.269
32725,11.0
32793,14.0
32783,7.0
32784,20.0
32786,4.0
32787,5.0
32788,14.0
32789,0.547
32790,0.515
32791,31.0
32792,4.0
32794,18.415
32782,6.0
32796,2.053
32797,5.03
32798,22.207
32799,12.0
32800,41.0
32801,16.0
32802,21.0
32803,11.0
32804,10.454
32805,25.0
32795,6.1690000000000005
32781,29.0
32785,8.0
32779,3.0
32757,10.855
32758,0.151
32759,0.94
32760,9.645
32761,0.9400000000000001
32762,6.249
32764,32.666
32765,2.784
32766,1.326
32767,8.103
32768,60.0
32763,46.229
32770,2.3369999999999997
32769,1.597
32777,16.0
32780,6.0
32776,20.0
32775,44.0
32778,29.0
32773,5.0
32772,49.822
32771,1.0
32774,62.0
32843,21.691
32834,9.0
32835,9.0
32836,11.0
32837,3.0
32838,1.172
32839,1.061
32840,40.0
32841,7.0
32842,29.0
32844,8.264
32856,17.334
32846,1.9809999999999999
32847,0.386
32848,18.395
32849,2.0
32850,6.0
32851,38.0
32852,23.0
32853,24.0
32854,1.0
32855,4.151
32833,20.0
32845,7.017
32832,1.0
32857,27.0
32830,30.0
32806,3.702
32807,2.199
32808,0.138
32809,2.87
32810,9.885
32811,2.97
32812,5.528
